Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.11430,456,6,3,1,0,-11.288,-1.9199,0.240942,0.825673,0.128823
m.27343,272,1,1,0,0,2.688,0.2944,1,0.864043,0.762778
m.27366,279,1,2,1,2,-5.52,-0.9304,0.654714,0.890034,0.417002
m.2737,226,1,1,0,1,-10.417,-1.3351,0.473842,0.858872,0.285687
m.27407,217,1,1,0,1,-1.171,-0.2776,0.958146,0.911903,0.634354
m.2744,660,3,4,0,0,12.778,2.046,0.395724,0.183788,0.822038
m.27472,139,0,1,0,0,-7.654,-1.328,0.476953,0.859382,0.287899
m.27519,235,3,2,3,4,9.823,2.0072,0.415265,0.197171,0.822958
m.27586,330,7,12,2,5,-4.303,-1.0291,0.607496,0.882302,0.384284
m.27605,263,2,3,0,2,0.227,0.0284,0.999345,0.893797,0.714539
m.11472,334,2,2,1,2,-7.871,-0.9454,0.647279,0.888878,0.412002
m.27613,234,3,4,1,3,6.198,1.2195,0.927103,0.574075,0.830011
m.27614,142,6,6,3,4,-8.04,-1.6737,0.333549,0.837349,0.18787
m.27625,216,0,0,1,1,6.899,1.3022,0.900001,0.531349,0.831203
m.27628,467,0,1,1,1,-7.271,-0.961,0.639646,0.887666,0.406812
m.2764,1523,1,0,1,2,0.198,0.0367,0.999509,0.893067,0.716342
m.27646,180,3,4,3,3,-14.567,-1.9258,0.238799,0.825431,0.127568
m.2765,1329,1,2,0,2,0.362,0.0436,0.999622,0.892452,0.717826
m.27658,363,0,0,0,2,8.53,1.3475,0.881934,0.507301,0.831624
m.27664,165,4,5,1,1,-3.475,-0.4082,0.914762,0.91381,0.59342
m.27700,104,6,6,5,7,5.107,0.3652,1,0.853466,0.772672
m.1149,736,1,1,1,1,-0.584,-0.0628,0.995055,0.901031,0.693372
m.27714,423,0,1,1,1,-6.832,-0.8554,0.693154,0.895624,0.442166
m.27772,428,2,3,1,2,2.615,0.4663,1,0.835885,0.785019
m.27778,204,1,2,0,1,-2.074,-0.2556,0.963916,0.911221,0.640925
m.27791,585,7,8,3,7,-2.162,-0.5393,0.857831,0.912085,0.549909
m.27802,451,0,3,1,2,2.266,0.3226,1,0.859988,0.76685
m.27813,362,2,1,1,1,-8.971,-1.6857,0.328948,0.836702,0.18472
m.27871,99,0,1,1,2,-6.542,-0.8934,0.673432,0.892837,0.429382
m.2794,658,35,39,21,30,1.105,0.4177,1,0.844726,0.779331
m.27948,285,4,3,1,2,1.241,0.1636,0.999946,0.880423,0.74142
m.27998,400,6,7,1,1,-1.608,-0.1611,0.983434,0.907143,0.667858
m.115,216,10,11,6,8,7.517,1.241,0.920714,0.563145,0.830375
m.28013,833,2,2,1,2,6.379,1.2592,0.914959,0.553788,0.830653
m.28097,108,3,3,4,4,-0.653,-0.1186,0.989484,0.904725,0.679221
m.28137,274,2,2,1,3,4.87,0.7177,1,0.776198,0.808177
m.28144,117,0,0,0,1,-3.157,-0.4009,0.917575,0.913801,0.595783
m.28154,158,1,1,0,1,-0.827,-0.1188,0.989459,0.904737,0.679168
m.2824,459,3,4,3,4,0.496,0.1287,0.999981,0.884189,0.734979
m.28256,203,8,4,2,3,-12.565,-2.3191,0.118332,0.812766,0.062298
m.28278,688,5,4,2,3,-9.454,-1.3636,0.461355,0.856845,0.276862
m.28313,382,0,0,0,0,-3.286,-0.2193,0.972422,0.909872,0.651528
m.28364,198,0,0,0,0,-2.037,-0.3679,0.929743,0.913615,0.606366
m.1005,498,11,12,8,10,-1.075,-0.2814,0.957103,0.912011,0.633209
m.1152,2284,0,0,0,1,7.266,0.6404,1,0.797332,0.802064
m.284,444,7,7,4,5,-7.543,-1.701,0.323098,0.83589,0.180739
m.2841,371,2,0,0,1,2.735,0.3133,1,0.861348,0.765527
m.28413,203,1,2,2,2,18.764,2.2264,0.325445,0.127269,0.818241
m.28419,437,3,2,1,5,1.196,0.2054,1,0.875595,0.748709
m.28422,153,1,0,0,1,-3.448,-0.679,0.787315,0.90663,0.502263
m.28430,410,5,4,2,5,-10.317,-2.3209,0.117912,0.812722,0.062079
m.28435,230,7,7,3,4,3.593,0.5517,1,0.818415,0.793991
m.28438,291,2,4,1,3,-10.569,-1.065,0.591248,0.879454,0.372482
m.285,338,2,2,0,2,6.084,0.9018,0.985581,0.714801,0.819571
m.11543,385,12,10,9,12,-6.527,-1.7031,0.322296,0.83578,0.180196
m.28519,329,4,6,3,5,-9.609,-1.3296,0.476252,0.859267,0.2874
m.2853,518,4,5,1,3,2.054,0.43,1,0.842559,0.780813
m.28534,505,7,6,7,5,6.851,1.7878,0.568032,0.283146,0.828108
m.28537,125,1,1,0,1,12.884,0.8726,0.989054,0.725525,0.818064
m.28546,235,21,23,16,23,3.175,0.7165,1,0.776548,0.808088
m.2856,532,21,21,13,16,1.099,0.2305,1,0.872519,0.752872
m.2860,768,14,19,8,16,0.212,0.0326,0.999432,0.893429,0.715454
m.28620,138,0,2,0,1,-0.524,-0.062,0.995117,0.900973,0.693569
m.28662,374,8,6,3,2,4.856,1.2525,0.917117,0.557243,0.830554
m.28742,295,2,3,2,4,5.368,0.6987,1,0.781648,0.806749
m.11553,214,8,7,6,8,15.758,1.8984,0.482459,0.237412,0.825594
m.28770,229,1,1,0,0,-2.753,-0.2053,0.975366,0.909279,0.655534
m.2878,281,9,12,4,6,-6.376,-1.5964,0.363614,0.841716,0.208729
m.28820,245,8,11,2,4,6.997,0.8244,0.994512,0.742415,0.815337
m.28880,200,1,1,1,1,0.555,0.1387,0.999966,0.883134,0.736859
m.28999,107,1,1,2,2,10.124,0.9496,0.979568,0.696425,0.821814
m.29,104,4,6,4,4,1.293,0.325,1,0.859633,0.767189
m.29084,160,2,3,1,2,2.603,0.3532,1,0.855353,0.771071
m.29137,625,3,2,0,2,-8.529,-0.6634,0.795522,0.907403,0.507607
m.29142,223,2,2,2,2,0.513,0.0599,0.999823,0.890967,0.721275
m.29240,253,7,8,2,3,-1.795,-0.3159,0.947009,0.912844,0.622672
m.2928,364,0,1,0,1,-3.101,-0.4328,0.904981,0.913759,0.585402
m.29291,227,0,0,0,0,-9.705,-0.8391,0.701739,0.896784,0.447672
m.29299,328,2,1,1,0,-7.432,-1.3873,0.450992,0.855185,0.269594
m.29350,356,0,0,0,1,-5.366,-0.8548,0.693468,0.895667,0.442369
m.29428,193,15,12,7,9,2.754,0.3288,1,0.859069,0.767722
m.29450,117,1,0,0,0,-1.412,-0.2382,0.968151,0.910609,0.646046
m.295,166,6,9,5,8,9.443,1.5135,0.790674,0.418028,0.831839
m.29523,191,14,12,7,8,5.655,1.7121,0.632485,0.317533,0.829573
m.29527,167,0,3,0,0,-0.255,-0.0317,0.99711,0.898727,0.700868
m.29546,408,2,1,0,1,-8.911,-1.1754,0.54312,0.87079,0.336498
m.11603,537,2,2,1,2,6.449,0.7354,1,0.770966,0.809466
m.29573,135,4,4,3,9,2.399,0.6526,1,0.794176,0.803083
m.29601,249,3,3,0,1,4.726,0.8254,0.994402,0.742074,0.815396
m.29602,100,0,2,0,2,-1.345,-0.2846,0.956213,0.912099,0.632242
m.29606,138,2,2,1,1,-0.635,-0.1147,0.989958,0.904485,0.680238
