Protein,Len,S0,S0,S1,S1,LogFoldChange,Zstatistic,fdr,FDRup,FDRdown
m.3621,404,1,2,1,1,-5.164,-0.7599,0.744088,0.90205,0.474585
m.36235,154,7,8,5,4,-4.812,-1.1441,0.556603,0.873221,0.346648
m.3627,290,2,4,2,3,-17.163,-2.3793,0.105179,0.811368,0.055301
m.36293,247,0,1,0,2,1.812,0.2682,1,0.867635,0.758833
m.36294,179,1,1,0,0,-5.388,-1.1944,0.534948,0.869327,0.330359
m.11876,224,0,1,1,3,-7.716,-1.2879,0.494485,0.862299,0.300489
m.36295,190,0,0,0,0,-3.363,-0.4625,0.892575,0.913526,0.57562
m.36305,120,2,0,0,1,2.472,0.3929,1,0.848955,0.776255
m.36358,231,0,2,1,1,-2.97,-0.3292,0.942824,0.913097,0.618548
m.36412,362,3,1,0,2,2.392,0.3698,1,0.852732,0.773278
m.365,460,29,26,14,14,1.323,0.1911,1,0.877287,0.746267
m.36655,249,1,2,1,3,7.483,0.9225,0.983033,0.706969,0.820575
m.36657,206,3,3,6,7,-4.009,-0.7496,0.749626,0.902682,0.478102
m.36658,156,7,7,5,4,2.288,0.2604,1,0.868672,0.757628
m.36659,126,2,2,0,2,3.11,0.2229,1,0.873465,0.751628
m.3666,213,31,34,30,38,0.691,0.3975,1,0.848185,0.776835
m.1188,293,4,5,2,5,14.142,1.2647,0.913155,0.550943,0.830732
m.36673,175,0,0,4,4,5.663,1.2966,0.902064,0.534295,0.83114
m.36731,170,6,5,6,5,16.88,1.5575,0.759334,0.394771,0.831562
m.3675,482,3,5,2,4,13.705,2.181,0.34138,0.140612,0.819107
m.3689,731,1,1,1,2,0.769,0.1743,0.999959,0.879221,0.74333
m.3691,708,1,1,0,1,-2.013,-0.4259,0.907771,0.913786,0.587659
m.37180,248,0,0,0,1,-0.568,-0.0903,0.99263,0.902923,0.686509
m.37188,283,0,1,0,0,-3.423,-0.5456,0.85483,0.911915,0.547779
m.3723,105,2,1,1,0,4.275,0.6497,1,0.794932,0.802842
m.37396,133,7,4,3,7,-6.808,-1.1408,0.558028,0.873479,0.347721
m.37474,159,21,14,5,8,2.127,0.6665,1,0.790499,0.804219
m.11907,647,1,2,0,0,-11.937,-1.3483,0.468057,0.857929,0.281588
m.3760,164,1,1,0,1,-5.774,-0.4623,0.892661,0.913528,0.575686
m.37732,163,1,1,0,0,-3.594,-0.3949,0.919854,0.913784,0.597719
m.3779,703,0,2,0,0,-0.796,-0.0965,0.991999,0.903331,0.684932
m.378,200,13,12,10,14,-5.821,-1.0949,0.578004,0.877087,0.362689
m.37819,132,0,1,0,0,-6.083,-0.9852,0.628005,0.885771,0.398784
m.37833,126,7,8,4,5,10.06,1.2881,0.905127,0.538754,0.831039
m.37922,139,2,2,2,1,0.034,0.0046,0.998701,0.895823,0.709254
m.37941,99,0,0,0,0,0.947,0.1479,0.999954,0.882146,0.738564
m.37958,188,0,0,0,0,-4.997,-0.7777,0.734521,0.900927,0.468516
m.11921,315,1,3,0,2,-4.01,-0.6541,0.800385,0.907846,0.510792
m.37962,437,2,3,1,2,-2.777,-0.5628,0.846536,0.911412,0.54195
m.37963,226,2,1,1,2,-4.632,-0.33,0.942567,0.913111,0.618299
m.38034,178,0,1,0,1,4.527,0.6589,1,0.79252,0.803601
m.38037,198,8,9,8,10,0.687,0.1347,0.999972,0.883558,0.73611
m.38038,462,12,11,6,7,0.521,0.1367,0.999968,0.883346,0.736485
m.38073,190,3,2,3,3,-1.739,-0.4193,0.910406,0.913803,0.589812
m.3808,609,31,24,19,24,-4.95,-1.4159,0.438549,0.853214,0.260916
m.3817,410,1,0,0,2,2.707,0.4475,1,0.839395,0.782871
m.38264,113,1,1,0,2,-7.139,-1.3773,0.45536,0.855882,0.272653
m.38396,326,0,0,0,1,-0.128,-0.0125,0.99805,0.897219,0.705352
m.11924,283,0,0,0,0,-12.449,-1.5373,0.387339,0.845289,0.225302
m.384,422,107,105,84,101,6.087,2.0794,0.380567,0.172627,0.821268
m.38468,195,4,4,0,3,6.464,1.1327,0.948917,0.61664,0.828133
m.38478,153,1,0,0,1,0.882,0.1172,0.999997,0.885381,0.732782
m.38537,209,1,1,0,0,-9.14,-1.5173,0.395549,0.846542,0.231026
m.38555,178,1,2,0,0,-12.05,-1.2242,0.522113,0.867055,0.320773
m.38571,236,1,2,0,0,0.065,0.008,0.998811,0.89554,0.710019
m.386,335,5,7,1,3,-2.451,-0.2663,0.961167,0.911566,0.637743
m.3861,463,0,1,0,1,-12.432,-1.7451,0.306314,0.833624,0.169501
m.38692,194,1,0,0,0,-3.138,-0.4904,0.880371,0.91314,0.566342
m.3871,422,0,0,1,4,2.956,0.5295,1,0.823208,0.791778
m.11933,202,0,1,0,0,-6.55,-0.8854,0.677546,0.893432,0.432067
m.38847,116,4,2,0,1,-9.315,-1.3969,0.446805,0.854519,0.26667
m.3914,142,4,4,2,3,-4.899,-1.188,0.537701,0.869819,0.332425
m.3929,668,2,1,0,0,-5.583,-0.5951,0.830585,0.910319,0.53096
m.3936,244,4,8,2,3,-4.311,-0.4405,0.901825,0.913716,0.582876
m.395,594,6,3,4,7,-10.71,-2.0026,0.211615,0.822437,0.111977
m.3953,259,2,3,0,2,-2.725,-0.3449,0.937677,0.913346,0.613638
m.3970,459,1,2,0,1,0.214,0.0432,0.999617,0.892488,0.71774
m.3978,582,10,12,2,4,3.677,0.4454,1,0.839779,0.782627
m.3981,180,2,2,3,4,9.926,1.3737,0.870275,0.493255,0.831794
m.10093,673,1,1,0,1,-9.594,-0.8024,0.721273,0.899307,0.460112
m.11960,265,1,1,0,0,-3.715,-0.4566,0.895089,0.913587,0.577571
m.3991,359,4,1,1,1,4.46,0.4752,1,0.834183,0.786013
m.4,1370,32,49,6,8,3.811,0.7305,1,0.77243,0.809113
m.4026,349,2,3,3,5,3.262,0.7803,0.999168,0.757003,0.812562
m.405,356,1,1,0,0,1.104,0.1889,1,0.877544,0.745886
m.408,537,3,2,0,2,-13.435,-1.4698,0.415428,0.849604,0.244852
m.4092,124,19,26,10,13,0.433,0.0954,0.999997,0.887573,0.728516
m.4111,173,1,1,0,1,9.213,0.9877,0.974379,0.681042,0.823415
m.4131,303,2,1,1,0,2.937,0.4432,1,0.840181,0.782371
m.416,307,5,4,2,5,3.32,0.5077,1,0.827739,0.789524
m.4166,132,0,0,0,0,-6.898,-0.5967,0.829783,0.91026,0.530415
m.11993,245,1,1,0,1,-6.858,-0.6725,0.790742,0.906956,0.50449
m.4186,1024,0,2,0,0,-2.892,-0.6507,0.802157,0.908004,0.511956
m.4192,379,3,3,2,5,-3.66,-0.9068,0.666593,0.891831,0.42489
m.4199,411,1,2,0,1,-1.053,-0.2039,0.975649,0.909217,0.655932
m.4212,929,16,21,14,11,4.08,1.2692,0.911655,0.54861,0.830794
m.4224,397,7,8,3,8,1.068,0.1705,0.999953,0.879651,0.742655
m.4229,273,3,6,2,5,-8.742,-1.124,0.565303,0.874795,0.35319
m.423,229,9,8,8,9,2.093,0.3167,1,0.860853,0.766013
m.4233,452,3,2,0,1,-5.085,-0.4591,0.894027,0.913562,0.576745
m.4250,288,21,21,14,18,4.864,0.839,0.992895,0.737404,0.816195
m.426,811,1,1,5,12,6.345,1.0797,0.959548,0.641222,0.826648
m.12002,156,1,3,0,0,5.945,0.7777,0.999431,0.757837,0.81239
m.4268,630,0,0,0,0,3.526,0.6217,1,0.802046,0.80046
m.427,250,0,0,1,3,10.772,2.0872,0.377227,0.170067,0.821092
m.4279,306,1,2,0,0,-4.513,-0.7034,0.77437,0.905346,0.493906
m.428,332,2,2,2,3,-2.727,-0.5562,0.849736,0.911612,0.544188
m.429,369,1,0,0,0,-10.764,-1.5365,0.387665,0.845339,0.225529
m.43,257,0,1,0,0,-0.879,-0.1415,0.986427,0.906071,0.673159
m.4304,248,2,2,0,1,-18.493,-1.0365,0.604111,0.881715,0.381847
m.431,153,1,1,0,0,-12.813,-2.2668,0.131177,0.81409,0.068956
m.4326,136,3,2,2,2,-0.034,-0.0068,0.998287,0.89676,0.706662
m.12007,433,10,8,4,9,9.435,2.5235,0.189985,0.05897,0.813666
m.4327,322,5,4,0,2,-7.047,-1.9414,0.233168,0.824801,0.124289
m.4353,392,3,5,3,4,1.49,0.2473,1,0.870382,0.75557
m.4356,640,10,11,4,6,-9.041,-1.6441,0.344962,0.83898,0.195744
m.4358,403,3,3,0,0,-6.781,-1.8366,0.271765,0.829265,0.147389
m.437,429,1,2,1,4,5.559,1.1554,0.94378,0.60577,0.828688
m.4371,294,0,1,0,0,-5.767,-0.5398,0.857594,0.912072,0.54974
m.4377,263,1,2,0,1,-13.722,-3.0842,0.023283,0.803339,0.008749
m.4386,383,5,6,1,1,-4.239,-0.6937,0.77953,0.905867,0.497228
m.4387,576,1,0,0,0,6.639,0.8073,0.996362,0.748168,0.814293
m.4396,851,0,1,0,0,-8.842,-1.4374,0.429265,0.851758,0.254462
m.12009,511,1,1,0,0,3.689,0.7786,0.99934,0.757549,0.81245
m.4397,158,0,0,0,0,10.132,1.7326,0.614845,0.307974,0.829203
m.441,423,19,18,7,11,3.613,0.6412,1,0.797127,0.802131
m.4416,678,1,2,0,0,-8.219,-0.7428,0.75328,0.903092,0.480425
m.443,202,3,3,1,2,10.795,1.6749,0.664426,0.335326,0.830185
m.444,342,0,1,0,1,3.788,0.6233,1,0.801648,0.800599
m.4449,151,0,0,0,0,-3.804,-0.7621,0.742906,0.901913,0.473835
m.4453,365,1,2,1,3,-4.083,-0.7635,0.742153,0.901826,0.473357
m.4511,317,0,0,0,0,-10.279,-0.8931,0.673586,0.892859,0.429482
m.4533,744,0,0,1,1,3.147,0.4741,1,0.834395,0.785891
m.454,722,1,0,0,0,-13.355,-1.7367,0.309504,0.834047,0.171614
m.12035,180,2,2,1,2,2.883,0.3445,1,0.856696,0.769892
m.4541,228,0,0,0,0,-5.539,-1.0072,0.617632,0.884036,0.391508
m.4567,294,0,1,0,1,-4.313,-0.3748,0.927274,0.913673,0.604167
m.458,572,1,3,0,1,3.152,0.727,1,0.773468,0.808859
m.459,339,6,5,4,2,-0.417,-0.0546,0.995665,0.90044,0.695376
m.4593,1009,5,1,2,5,1.894,0.261,1,0.868593,0.757721
m.460,402,15,11,7,9,-5.367,-0.9184,0.660727,0.890951,0.42101
m.461,891,1,2,1,3,-6.616,-0.935,0.652424,0.889681,0.415467
m.4616,493,1,2,0,2,-0.24,-0.0286,0.997278,0.898488,0.701599
m.462,353,5,6,2,4,3.869,0.7171,1,0.776373,0.808133
m.12048,569,14,16,5,9,-3.446,-0.6399,0.807762,0.908495,0.515653
m.4637,291,0,1,0,0,2.467,0.2541,1,0.8695,0.756643
m.4641,249,0,2,0,0,-7.264,-1.0022,0.619973,0.884431,0.39316
m.4645,459,0,2,0,0,-5.962,-0.8271,0.708099,0.897624,0.451733
m.4694,414,8,8,11,16,-1.338,-0.4815,0.884319,0.91328,0.56931
m.47,1132,0,1,0,0,8.62,1.3752,0.869579,0.492449,0.831802
m.471,360,0,0,0,0,-6.819,-1.3211,0.479974,0.859879,0.290054
m.4728,213,3,7,2,3,-7.22,-0.9532,0.64345,0.888273,0.409406
m.473,628,9,9,8,12,0.679,0.0957,0.999997,0.887544,0.728576
m.4733,390,0,0,0,1,-5.759,-0.7858,0.730171,0.900403,0.465757
m.474,402,0,1,0,0,3.465,0.6114,1,0.804579,0.799555
m.12056,309,2,2,1,2,-4.479,-0.7939,0.725825,0.899872,0.463001
m.4747,349,14,12,6,10,1.711,0.2749,1,0.866732,0.759857
m.4759,223,6,9,4,5,-4.565,-0.4862,0.88224,0.913208,0.567744
m.4808,367,1,0,0,1,6.722,1.1685,0.940641,0.59941,0.828988
m.481,1150,12,13,12,15,-1.261,-0.4159,0.911751,0.913808,0.590919
m.4811,467,1,1,0,0,-3.365,-0.4128,0.912969,0.91381,0.591927
m.4855,1250,0,0,1,0,1.688,0.1612,0.999948,0.88069,0.740988
m.4863,154,0,0,0,1,-11.007,-2.0443,0.197485,0.820924,0.104098
m.4876,497,10,10,7,7,3.681,1.0385,0.966674,0.659516,0.825307
m.4878,331,25,25,12,15,-5.023,-1.7448,0.306427,0.833639,0.169576
m.4883,240,1,1,1,2,2.27,0.3023,1,0.862928,0.763937
m.4889,468,2,2,0,2,2.247,0.291,1,0.864519,0.762275
m.4892,422,1,2,0,0,-0.299,-0.036,0.996867,0.899055,0.699848
m.4894,508,0,1,0,0,-2.401,-0.4711,0.888868,0.913424,0.572769
m.4897,319,15,15,6,10,0.824,0.234,1,0.872079,0.75344
m.4900,202,6,6,5,6,8.508,1.823,0.539283,0.268017,0.827346
m.4903,2982,2,5,1,2,2.661,0.399,1,0.847932,0.777023
m.491,248,13,12,5,11,-1.25,-0.4708,0.888998,0.913428,0.572868
m.4911,552,74,80,60,64,5.427,2.7871,0.095342,0.026562,0.810311
m.4921,158,8,10,5,6,-2.791,-0.5301,0.862175,0.91232,0.553015
m.12097,491,0,0,0,0,3.515,0.4941,1,0.83048,0.788078
m.4923,315,12,16,8,11,2.976,0.5392,1,0.821136,0.792755
m.494,400,7,6,4,6,-2.929,-0.5058,0.873423,0.912859,0.561188
m.4943,647,45,46,28,27,-8.771,-4.1534,0.000163,0.801248,0.000081
m.4946,322,2,2,0,1,-8.36,-1.4008,0.445107,0.85425,0.265485
m.4958,221,1,1,0,0,-9.419,-1.0368,0.603975,0.881691,0.381749
m.4968,676,1,1,0,1,-8.637,-2.308,0.120951,0.813038,0.063664
m.4969,645,0,0,0,0,6.873,0.6753,1,0.788127,0.804924
m.4974,208,6,7,3,6,4.751,0.7782,0.99938,0.757677,0.812423
m.4978,368,30,32,24,26,9.906,3.583,0.004616,0.001196,0.804572
m.4988,204,5,3,2,2,-1.642,-0.2827,0.956742,0.912047,0.632816
m.10111,222,0,2,0,1,0.445,0.0454,0.999651,0.89229,0.718211
m.1215,381,6,9,4,7,-1.574,-0.2337,0.969199,0.91044,0.647359
m.4990,351,3,3,0,0,0.151,0.0242,0.999252,0.894161,0.713619
m.4998,325,2,3,2,2,-8.884,-1.8543,0.265143,0.828472,0.143314
m.500,227,1,3,1,0,-16.637,-2.5432,0.078065,0.808261,0.03922
m.5003,527,0,0,0,0,-6.573,-0.8815,0.679559,0.893721,0.433378
m.5005,481,22,28,18,23,8.129,4.6581,0.000021,0.000004,0.802011
m.5012,2350,111,99,76,86,-3.117,-1.9791,0.219782,0.823324,0.1166
m.5020,224,9,7,7,9,-5.714,-1.4705,0.415131,0.849558,0.244646
m.5022,151,14,13,10,15,-3.15,-0.5651,0.845416,0.911341,0.541169
m.5026,617,0,0,0,0,0.12,0.0204,0.99916,0.894489,0.712781
m.5028,1007,27,28,20,19,1.378,0.4544,1,0.83812,0.783667
m.12175,403,4,6,2,5,15.644,3.4515,0.007892,0.002058,0.80536
m.5036,327,1,1,1,2,-6.071,-1.0398,0.602608,0.881453,0.380761
m.5038,1493,0,1,0,0,-6.739,-1.1559,0.551514,0.872302,0.342816
m.5056,403,4,4,2,2,12.055,1.1923,0.934595,0.587696,0.829493
m.5061,506,13,15,11,12,-5.175,-0.6737,0.79011,0.906897,0.504079
m.5062,346,14,13,10,12,6.305,1.2525,0.917117,0.557243,0.830554
m.5064,342,4,6,6,10,0.82,0.1943,1,0.876912,0.746818
m.5076,1105,4,5,2,5,-0.846,-0.2304,0.969955,0.910314,0.648319
m.508,371,4,5,4,6,0.21,0.0498,0.999711,0.891893,0.719147
m.5080,107,3,3,2,4,-4.278,-0.6117,0.822215,0.909683,0.525295
m.5081,198,5,10,3,7,0.838,0.0847,0.999973,0.888619,0.726372
m.12185,535,2,4,1,4,3.097,0.6189,1,0.802739,0.800215
m.5109,131,2,2,1,1,-7.39,-0.9555,0.642325,0.888094,0.408641
m.5113,272,11,9,3,10,5.436,1.0189,0.969772,0.667957,0.824609
m.5116,342,0,0,0,0,-11.666,-2.9704,0.031403,0.803962,0.012539
m.5120,694,22,27,20,20,2.025,0.5871,1,0.810382,0.797357
m.5128,376,3,3,3,4,-0.208,-0.0339,0.996988,0.898895,0.700347
m.5142,151,5,5,6,5,-2.335,-0.574,0.841059,0.911055,0.538145
m.5146,126,8,7,5,5,-1.637,-0.2498,0.96536,0.911024,0.64264
m.5147,416,15,15,5,9,10.922,1.4692,0.819226,0.441761,0.83198
m.5148,167,3,3,2,3,-4.492,-1.0146,0.614187,0.88345,0.389065
m.515,303,0,1,2,4,5.4,0.5878,1,0.810218,0.797421
m.12229,471,23,24,23,28,1.218,0.4474,1,0.839413,0.78286
m.5150,488,2,3,1,3,-2.416,-0.6463,0.804445,0.908206,0.513463
m.5161,451,5,4,2,4,5.303,0.9685,0.977046,0.688876,0.822628
m.5169,263,0,0,0,0,7.36,0.8586,0.990674,0.730534,0.817303
m.5172,212,0,0,0,0,10.363,1.1561,0.943615,0.605432,0.828705
m.5182,409,12,15,10,13,23.376,2.6388,0.138237,0.042126,0.812112
m.5185,122,1,0,0,0,-4.39,-0.5128,0.870218,0.912716,0.558839
m.5186,242,44,51,37,45,4.416,2.0954,0.37379,0.167394,0.820909
m.519,515,15,20,5,12,2.73,1.0861,0.958356,0.638315,0.826842
m.5191,2106,10,18,5,14,0.363,0.1148,0.999997,0.885626,0.732319
m.5199,639,3,2,1,3,1.315,0.2059,1,0.875535,0.748794
m.1223,739,2,3,2,5,4.637,1.4349,0.839184,0.460255,0.831991
m.5203,1963,1,2,0,0,-4.033,-0.4555,0.895555,0.913597,0.577935
m.5212,302,1,1,0,0,-1.45,-0.1801,0.980192,0.908109,0.662622
m.5216,1018,2,2,1,1,7.178,0.8112,0.995944,0.746867,0.814535
m.5248,375,1,2,0,2,4.355,0.9337,0.98162,0.702652,0.821098
m.5250,227,3,3,2,2,-8.36,-1.023,0.610301,0.882785,0.386294
m.5253,335,35,34,24,27,-2.833,-1.2413,0.514726,0.865765,0.315298
m.5256,138,5,5,2,4,-10.659,-1.6772,0.332206,0.837159,0.186949
m.5258,222,3,2,1,3,-9.08,-0.9086,0.66568,0.891695,0.424288
m.5266,746,1,2,0,0,-7.122,-0.6369,0.809312,0.908628,0.51668
m.5277,148,2,2,2,2,3.779,0.5815,1,0.811685,0.796837
m.12238,232,16,21,11,12,-1.967,-0.4419,0.901247,0.913707,0.582416
m.5288,344,0,1,0,0,2.556,0.4026,1,0.847323,0.777473
m.5290,1690,32,28,16,19,-5.885,-1.9159,0.242398,0.825837,0.129679
m.5296,670,0,0,0,3,10.116,1.3924,0.861367,0.48319,0.831884
m.5305,270,3,3,3,3,10.142,1.9021,0.479871,0.235971,0.825505
m.5309,1972,163,161,114,154,2.43,3.2894,0.017116,0.003964,0.806439
m.531,580,15,16,6,9,2.489,0.3804,1,0.851018,0.774657
m.5315,882,10,9,6,11,-6.901,-1.0695,0.589239,0.879097,0.371006
m.532,113,4,3,4,2,-6.491,-1.4032,0.444063,0.854085,0.264757
m.534,225,12,11,2,4,1.354,0.2071,1,0.875391,0.748996
m.5346,119,2,1,1,2,3.573,0.3499,1,0.855865,0.770626
m.1225,1047,0,0,0,0,2.084,0.4122,1,0.84568,0.778659
m.535,370,1,1,0,0,-3.167,-0.4711,0.888868,0.913424,0.572769
m.5352,328,1,0,1,1,0.222,0.0318,0.999416,0.893499,0.71528
m.5354,547,12,12,7,10,6.267,2.134,0.358514,0.155063,0.82007
m.5364,172,10,10,8,7,13.547,3.297,0.016475,0.003844,0.806388
m.5369,500,3,2,3,5,-1.676,-0.1511,0.985005,0.906606,0.670575
m.5376,135,1,1,0,0,0.555,0.079,0.999954,0.889168,0.725216
m.5382,195,2,2,3,4,3.558,0.4534,1,0.838306,0.783552
m.5390,842,6,5,3,5,-1.682,-0.3878,0.922513,0.913755,0.600004
m.5398,324,0,0,0,0,16.063,2.7665,0.099916,0.028392,0.810541
m.5400,164,4,6,3,5,1.277,0.211,1,0.87492,0.749652
m.12306,644,1,1,0,1,-5.368,-0.58,0.8381,0.910854,0.536104
m.5401,114,5,0,0,0,-0.671,-0.1234,0.988882,0.905015,0.677962
m.5403,461,18,23,9,14,15.519,2.0218,0.407653,0.192081,0.822609
m.5407,595,9,5,5,5,-3.138,-0.5586,0.848575,0.91154,0.543375
m.5413,216,1,1,1,1,0.811,0.0833,0.99997,0.888754,0.726089
m.5415,188,3,4,2,2,-10.234,-1.0991,0.576161,0.876755,0.361316
m.5416,476,3,3,1,4,-1.9,-0.2742,0.959068,0.911805,0.635377
m.5422,1121,4,7,3,5,-19.507,-2.122,0.172491,0.818308,0.090518
m.5425,415,36,33,22,24,-5.942,-2.1543,0.16264,0.817295,0.085292
m.5441,307,2,2,3,3,7.691,0.9157,0.983878,0.709563,0.820251
m.5442,167,13,13,10,17,-1.855,-0.2938,0.953603,0.91234,0.62945
m.12334,1458,2,1,4,1,13.199,0.8776,0.988468,0.723715,0.81833
m.5457,390,1,1,0,0,-2.997,-0.4914,0.879925,0.913123,0.566008
m.5459,641,0,0,0,0,-0.752,-0.0913,0.99253,0.902989,0.686256
m.5465,622,13,13,9,8,-6.935,-1.2944,0.491649,0.861822,0.298438
m.5473,170,3,3,0,3,5.089,0.884,0.987713,0.721383,0.818665
m.5478,219,0,0,0,1,-8.769,-1.1111,0.570915,0.875809,0.357397
m.5484,707,4,3,0,1,12.601,1.36,0.876488,0.50061,0.831712
m.5487,105,6,8,2,3,4.224,0.803,0.996818,0.749595,0.814025
m.5493,248,0,0,0,1,8.727,1.1731,0.939509,0.597161,0.82909
m.550,489,31,33,22,26,0.451,0.0994,1,0.887177,0.729309
m.5507,231,2,1,1,3,-14.251,-1.4385,0.428792,0.851684,0.254133
m.1235,511,0,0,1,6,2.295,0.5584,1,0.816932,0.794643
m.5516,387,5,6,2,1,5.976,0.7246,1,0.774177,0.808684
m.552,338,5,7,3,4,2.511,0.4136,1,0.845438,0.778831
m.5522,429,3,3,2,3,-4.599,-0.6485,0.803302,0.908106,0.512709
m.5525,456,13,15,10,14,0.531,0.2063,1,0.875487,0.748861
m.5528,192,4,4,3,2,3.472,0.6029,1,0.806636,0.798796
m.5538,480,12,11,9,11,3.094,0.8062,0.996478,0.748534,0.814225
m.5566,116,1,2,1,2,5.313,0.8602,0.990491,0.729966,0.817392
m.5581,320,2,2,0,0,-5.407,-1.2185,0.524571,0.867488,0.322602
m.5583,175,3,4,2,4,-4.565,-0.6961,0.778255,0.905739,0.496406
m.5593,175,1,2,1,1,-6.42,-0.8222,0.710705,0.897962,0.453393
m.1013,969,1,2,0,0,5.313,1.0007,0.972504,0.675643,0.823925
m.12366,358,0,0,0,0,5.114,0.8057,0.996531,0.7487,0.814194
m.56,236,7,7,5,8,-12.317,-1.3547,0.465253,0.857474,0.279608
m.5603,203,2,5,0,2,2.623,0.4556,1,0.837897,0.783805
m.5605,166,5,5,5,4,10.072,2.0186,0.409294,0.193191,0.822685
m.5606,190,4,6,3,5,-0.656,-0.0908,0.99258,0.902956,0.686382
m.5611,317,10,12,12,16,1.485,0.4195,1,0.844412,0.77955
m.5613,134,7,7,1,3,-1.795,-0.2803,0.957406,0.91198,0.633541
m.5618,330,2,3,0,0,0.382,0.0713,0.999913,0.889901,0.72364
m.5620,959,3,3,1,3,-3.482,-0.553,0.85128,0.911705,0.545273
m.5624,813,11,11,6,9,-8.136,-2.4488,0.092236,0.809926,0.048006
m.5628,431,28,28,22,31,-7.752,-1.6082,0.358965,0.841027,0.205484
m.1238,450,1,2,2,5,0.438,0.0485,0.999693,0.89201,0.718871
m.5643,338,3,5,3,3,11.859,1.5035,0.797392,0.423363,0.831883
m.5644,430,15,13,8,14,-1.928,-0.398,0.91868,0.913794,0.596719
m.5659,127,4,5,3,6,-11.649,-1.7708,0.296571,0.832354,0.16312
m.5661,257,1,1,0,0,-6.747,-1.2194,0.524183,0.867419,0.322313
m.5664,242,14,16,7,6,-5.504,-1.401,0.44502,0.854236,0.265424
m.5665,346,7,8,5,9,1.705,0.4078,1,0.846436,0.778118
m.5672,207,0,0,1,1,-0.867,-0.1246,0.988728,0.905087,0.677646
m.5676,297,2,4,0,2,9.943,1.096,0.956466,0.633785,0.827133
m.5677,398,8,6,6,6,-9.238,-1.7327,0.311024,0.83425,0.172625
m.5680,200,0,0,0,1,-7.374,-0.8495,0.696253,0.896046,0.444158
m.12417,694,2,2,0,1,0.638,0.0867,0.999981,0.888425,0.726775
m.5686,252,1,1,1,1,0.594,0.068,0.999891,0.890212,0.722959
m.5692,394,1,1,0,1,2.839,0.4684,1,0.835486,0.785255
m.5724,205,11,15,2,3,7.558,1.1539,0.944131,0.606495,0.828653
m.5735,289,1,2,0,0,-7.486,-0.938,0.650936,0.88945,0.414467
m.5752,384,0,0,0,1,-3.329,-0.6533,0.800802,0.907883,0.511066
m.5753,396,3,1,1,3,5.084,0.4517,1,0.838621,0.783357
m.5755,241,2,2,1,2,-10.446,-1.5874,0.367178,0.842248,0.211219
m.578,416,0,0,0,0,-3.642,-0.3572,0.933492,0.913504,0.60976
m.579,570,22,24,11,13,1.993,0.6391,1,0.797665,0.801954
m.580,344,19,21,16,19,10.317,3.9431,0.001248,0.000224,0.80317
m.1249,263,14,15,6,8,-2.01,-0.2811,0.957186,0.912002,0.633299
m.5803,326,0,1,0,1,9.178,1.0107,0.971019,0.671439,0.824305
m.5804,1293,9,11,6,10,-2.748,-0.5745,0.840813,0.911038,0.537975
m.5811,486,21,21,14,18,5.46,1.2562,0.915932,0.555337,0.830609
m.5859,199,7,5,4,7,1.356,0.2005,1,0.87618,0.747878
m.5862,284,3,3,3,4,4.18,0.8266,0.994271,0.741665,0.815468
m.5867,472,4,3,2,5,5.067,1.1301,0.94948,0.617872,0.828066
m.5868,232,1,1,0,0,-9.301,-1.9184,0.241487,0.825734,0.129144
m.5869,404,2,1,2,4,8.378,1.0054,0.971811,0.673673,0.824105
m.5870,1080,10,11,7,13,2.558,0.4224,1,0.843904,0.779901
m.5891,357,1,2,1,2,-9.539,-1.4815,0.410484,0.848839,0.241417
m.12517,148,1,1,0,0,4.871,0.8123,0.995826,0.746498,0.814603
m.5898,324,0,0,0,0,3.02,0.2914,1,0.864463,0.762335
m.5900,332,1,0,0,1,-9.788,-1.4466,0.425316,0.851141,0.251718
m.592,568,0,1,0,1,-6.483,-0.7963,0.72454,0.899714,0.462185
m.5924,163,4,6,3,3,5.685,1.158,0.943168,0.604513,0.828749
m.5940,470,15,21,8,12,-9.865,-1.7812,0.292637,0.83185,0.160574
m.5946,412,4,5,3,4,-2.226,-0.2178,0.972747,0.90981,0.65196
m.5947,328,2,3,2,3,-5.916,-0.5116,0.870769,0.912741,0.559242
m.595,591,6,9,4,8,-7.348,-2.5059,0.083258,0.808879,0.042553
m.5953,1295,34,37,18,27,-3.681,-1.173,0.544153,0.870975,0.337274
m.5958,540,0,0,0,0,-8.784,-0.9094,0.665274,0.891634,0.42402
m.12521,914,13,12,11,16,4.819,1.6104,0.718213,0.367434,0.831052
m.5961,726,44,50,25,30,4.584,1.8538,0.515186,0.255224,0.826646
m.5976,440,0,1,0,0,-6.946,-0.8482,0.696938,0.896139,0.444597
m.5981,145,5,6,4,3,-12.036,-2.2114,0.146077,0.815607,0.076644
m.6000,281,14,13,5,10,1.504,0.3675,1,0.8531,0.772976
m.6006,339,32,35,22,30,-5.399,-2.3977,0.101522,0.810969,0.053293
m.6024,399,2,3,2,4,13.646,3.6012,0.004312,0.001107,0.804474
m.6025,191,12,16,4,5,-10.075,-0.8246,0.709428,0.897797,0.45258
m.604,626,11,10,10,12,-4.436,-0.8578,0.691895,0.895451,0.441357
m.6042,807,0,0,0,1,3.109,0.2485,1,0.870227,0.755761
m.6043,332,0,0,0,0,-5.837,-0.6199,0.818041,0.909352,0.522494
m.12550,201,5,5,3,4,4.692,1.0106,0.971034,0.671481,0.824301
