Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.10196	145	2	0	2	1	1	0	-0.321	-0.4305	0.999987	0.350050	0.820477
m.10199	219	17	16	11	14	15	14	0.702	1.7832	0.000000	0.000000	0.511024
m.10205	893	0	0	0	0	2	0	0.101	0.1339	0.947765	0.142797	0.970315
m.10239	279	0	2	1	1	3	0	0.118	0.1609	0.922764	0.129262	0.968821
m.10260	232	2	5	4	4	4	2	0.428	0.7940	0.031141	0.001380	0.752060
m.10264	203	0	0	0	1	0	0	-0.104	-0.1332	0.993835	0.273497	0.950962
m.10289	705	3	1	2	0	4	1	0.039	0.0512	0.991329	0.185727	0.969748
m.10304	278	0	0	0	0	0	1	-0.103	-0.1294	0.994066	0.271956	0.951529
m.10324	680	0	1	4	5	5	1	0.580	0.9833	0.003745	0.000149	0.686489
m.10327	1122	14	13	9	15	11	7	0.846	2.2119	0.000000	0.000000	0.455170
m.10342	512	0	0	0	0	0	1	-0.087	-0.1109	0.995319	0.264256	0.954166
m.10346	250	2	0	0	1	2	4	0.367	0.5012	0.302371	0.019408	0.872761
m.10353	112	0	1	1	0	0	0	-0.057	-0.0739	0.998020	0.247913	0.958895
m.1036	1192	0	0	0	1	3	1	0.219	0.2907	0.723971	0.072388	0.947752
m.10378	725	11	9	4	7	5	5	0.924	1.7677	0.000000	0.000000	0.513391
m.1038	113	18	20	11	17	18	10	0.811	2.3045	0.000000	0.000000	0.445849
m.10387	484	9	6	8	10	12	11	0.731	1.6297	0.000000	0.000000	0.535544
m.104	1674	47	104	44	96	94	64	0.953	5.9488	0.000000	0.000000	0.367706
m.1041	396	3	3	1	3	3	4	0.876	1.2895	0.000048	0.000002	0.602587
m.1042	331	2	5	2	7	6	4	1.333	2.3549	0.000000	0.000000	0.441199
m.1044	836	0	0	0	1	0	0	-0.123	-0.1525	0.992844	0.281101	0.947924
m.10463	220	3	4	2	9	4	2	1.468	2.7723	0.000000	0.000000	0.411199
m.10468	320	14	18	11	21	15	14	1.052	2.8677	0.000000	0.000000	0.405826
m.10472	547	6	9	6	14	10	7	1.250	2.8555	0.000000	0.000000	0.406484
m.10496	298	23	18	14	32	14	21	1.103	3.4921	0.000000	0.000000	0.384144
m.10498	209	0	1	0	0	0	0	-0.079	-0.1022	0.995938	0.260524	0.955339
m.10499	214	1	1	3	4	7	0	0.736	1.2260	0.000130	0.000005	0.617904
m.1054	285	18	21	14	20	18	9	0.679	2.0375	0.000000	0.000000	0.475505
m.10547	1648	0	1	1	0	1	0	-0.008	-0.0098	0.999875	0.217063	0.965561
m.10557	131	0	1	0	0	2	2	0.163	0.2121	0.859112	0.104947	0.963322
m.10558	176	6	11	7	8	12	4	0.593	1.4060	0.000007	0.000000	0.577042
m.10560	427	16	10	9	24	28	13	1.336	3.5624	0.000000	0.000000	0.382744
m.10575	652	7	0	3	1	3	0	-0.166	-0.2375	0.994037	0.310070	0.929841
m.10580	205	0	0	0	1	0	1	-0.112	-0.1496	0.992961	0.279982	0.948398
m.10586	414	0	1	0	2	0	1	0.263	0.3447	0.613752	0.054037	0.932335
