Protein	Len	S0	S0	S0	S1	S1	S1	LogFoldChange	Zstatistic	fdr	FDRup	FDRdown
m.19661	333	26	24	16	29	27	17	0.950	2.9388	0.000000	0.000000	0.402172
m.19674	317	15	15	14	12	16	9	0.295	0.7391	0.052506	0.002438	0.773203
m.19685	242	2	8	3	4	6	0	0.688	1.0997	0.000815	0.000031	0.651540
m.19688	311	0	2	0	2	2	1	0.405	0.5869	0.177137	0.009887	0.836156
m.19695	105	0	0	0	0	0	1	0.035	0.0430	0.993392	0.190001	0.969339
m.19700	101	4	1	2	1	1	2	-0.195	-0.2468	0.994817	0.312791	0.927171
m.19704	127	2	5	4	7	5	0	0.807	1.5446	0.000001	0.000000	0.550358
m.19708	361	9	16	6	22	14	11	1.598	3.5871	0.000000	0.000000	0.382279
m.19722	109	4	3	1	0	0	0	-0.057	-0.0754	0.997916	0.248599	0.958716
m.19726	448	0	2	2	0	1	1	-0.277	-0.3705	0.999997	0.341065	0.869181
m.1973	357	0	0	0	0	0	1	-0.032	-0.0432	0.999697	0.233491	0.962334
m.19748	107	1	1	0	0	0	0	-0.056	-0.0712	0.998205	0.246674	0.959215
m.19751	156	0	0	0	1	2	0	0.093	0.1256	0.954293	0.147031	0.970592
m.19764	354	9	13	9	14	10	9	0.876	2.2561	0.000000	0.000000	0.450593
m.19768	178	4	7	3	7	4	5	1.137	1.9096	0.000000	0.000000	0.492573
m.19801	196	0	0	1	0	0	1	-0.062	-0.0832	0.997356	0.252134	0.957768
m.19802	135	0	0	0	0	0	1	-0.011	-0.0142	0.999990	0.219265	0.965168
m.19805	110	13	11	9	14	14	10	0.925	2.2320	0.000000	0.000000	0.453059
m.19807	203	0	0	0	0	0	2	0.108	0.1481	0.935343	0.135629	0.969645
m.1983	176	0	0	0	1	0	0	-0.040	-0.0516	0.999349	0.237508	0.961436
m.19866	117	0	3	1	1	1	0	-0.189	-0.2391	0.994160	0.310544	0.929394
m.19870	153	5	0	1	3	3	1	0.721	1.1094	0.000713	0.000027	0.648802
m.19899	782	8	4	7	7	5	0	0.344	0.7248	0.059729	0.002811	0.778864
m.19914	123	0	2	1	3	2	1	0.608	0.9051	0.009510	0.000393	0.712219
m.19922	158	0	0	1	0	1	1	-0.104	-0.1292	0.994077	0.271875	0.951559
m.19923	914	0	2	1	0	1	0	-0.099	-0.1241	0.994391	0.269784	0.952305
m.19927	386	2	10	4	6	6	2	0.743	1.3099	0.000035	0.000001	0.597882
m.19936	369	0	0	1	0	3	0	0.240	0.3391	0.625522	0.055780	0.934093
m.19949	302	0	1	1	2	4	2	0.657	0.9194	0.008066	0.000331	0.707374
m.1996	868	30	35	15	19	38	10	0.659	1.9946	0.000000	0.000000	0.481039
m.19966	302	17	21	11	22	10	14	1.014	2.9430	0.000000	0.000000	0.401966
m.19978	746	12	13	8	13	11	7	0.881	2.0731	0.000000	0.000000	0.471067
m.19983	183	8	7	5	8	8	7	0.943	1.8579	0.000000	0.000000	0.499938
m.19991	861	33	21	26	13	23	25	-0.245	-0.7827	0.577025	0.367458	0.239901
m.19993	588	4	2	2	7	9	3	1.431	2.5273	0.000000	0.000000	0.427268
m.2	157	14	11	8	17	16	9	1.092	2.8092	0.000000	0.000000	0.409061
m.20	400	0	0	0	1	0	0	-0.148	-0.1965	0.992176	0.297024	0.939750
m.200	1142	63	65	46	68	68	42	0.563	2.9828	0.000000	0.000000	0.400075
m.20009	465	0	0	0	1	2	0	0.018	0.0238	0.996989	0.199953	0.968181
m.20013	565	19	32	22	27	30	16	0.514	1.8411	0.000000	0.000000	0.502385
m.20041	230	28	46	32	56	51	34	0.747	3.4600	0.000000	0.000000	0.384823
m.20062	124	6	0	5	8	3	0	0.651	1.2848	0.000052	0.000002	0.603686
m.20081	531	2	8	4	11	5	6	1.243	2.7032	0.000000	0.000000	0.415395
m.2011	367	1	0	0	0	4	1	0.338	0.4460	0.403657	0.028710	0.895519
m.20145	264	2	1	1	0	2	0	0.070	0.0889	0.977070	0.166024	0.970875
m.20155	114	0	1	0	0	0	0	-0.086	-0.1103	0.995356	0.264001	0.954248
m.20175	165	4	4	2	8	9	4	1.525	2.6604	0.000000	0.000000	0.418118
m.202	101	4	3	4	5	3	3	0.589	1.0529	0.001534	0.000060	0.665123
m.2022	539	3	8	6	7	18	6	0.817	1.6479	0.000000	0.000000	0.532501
m.20248	122	0	0	1	1	3	4	0.454	0.6263	0.133639	0.007054	0.819387
m.20249	222	1	0	0	1	0	0	-0.051	-0.0692	0.998320	0.245753	0.959449
m.20253	281	8	4	4	6	7	2	0.789	1.5007	0.000001	0.000000	0.558430
m.20256	148	1	0	0	1	1	0	-0.102	-0.1202	0.994656	0.268168	0.952865
m.2026	290	0	2	0	0	0	0	-0.102	-0.1329	0.993851	0.273376	0.951007
m.20279	200	0	1	0	1	0	0	-0.149	-0.1880	0.992103	0.294103	0.941493
m.2030	436	1	11	0	5	4	4	1.351	2.0748	0.000000	0.000000	0.470858
m.20317	123	1	3	3	2	5	1	0.232	0.3418	0.619852	0.054935	0.933250
m.2032	373	11	8	14	16	20	14	0.572	1.7010	0.000000	0.000000	0.523843
m.20374	285	12	11	9	11	15	1	0.674	1.5187	0.000001	0.000000	0.555081
m.20468	481	0	1	1	0	1	0	-0.044	-0.0566	0.999096	0.239874	0.960886
m.20487	290	2	0	1	4	2	0	0.722	1.1172	0.000639	0.000024	0.646619
m.2050	233	0	8	2	4	6	5	0.959	1.5553	0.000000	0.000000	0.548438
m.20506	179	6	7	3	7	6	3	1.121	2.1662	0.000000	0.000000	0.460151
m.20509	361	4	8	4	5	6	2	0.606	1.0672	0.001268	0.000049	0.660907
m.20530	217	0	0	0	0	1	0	-0.121	-0.1548	0.992749	0.281982	0.947543
m.20599	102	0	0	0	1	1	3	0.124	0.1600	0.923692	0.129706	0.968886
m.20617	373	1	2	4	3	2	2	0.158	0.2658	0.770933	0.081988	0.953610
m.20656	236	14	2	5	3	5	6	0.280	0.5131	0.282511	0.017759	0.867726
m.2066	222	0	0	0	1	1	0	-0.131	-0.1703	0.992277	0.287782	0.944855
m.20660	110	0	0	0	0	1	0	-0.043	-0.0553	0.999161	0.239261	0.961030
m.2067	217	0	12	4	13	2	4	1.287	2.8501	0.000000	0.000000	0.406779
m.20683	314	1	0	0	0	2	1	0.125	0.1745	0.907934	0.122610	0.967710
m.20684	130	0	0	2	0	1	2	-0.107	-0.1497	0.992955	0.280021	0.948382
m.207	457	1	2	2	0	2	2	-0.030	-0.0405	0.999802	0.232190	0.962615
m.20764	128	0	0	0	0	0	1	-0.026	-0.0321	1.000000	0.228109	0.963469
m.20784	421	0	1	1	0	0	0	-0.133	-0.1764	0.992162	0.289997	0.943734
m.20818	279	5	0	3	1	1	0	-0.469	-0.6557	0.864604	0.365622	0.460901
m.20823	136	2	3	1	1	3	0	0.189	0.2654	0.771658	0.082148	0.953697
m.20828	231	3	3	3	3	7	2	0.610	1.0420	0.001771	0.000069	0.668376
m.2085	249	2	0	0	0	0	0	-0.091	-0.1137	0.995109	0.265443	0.953779
m.20898	435	8	15	6	8	17	8	0.875	1.7589	0.000000	0.000000	0.514744
m.20912	285	0	1	0	1	1	1	-0.113	-0.1433	0.993266	0.277523	0.949406
m.20916	317	15	23	13	26	24	15	1.042	3.1866	0.000000	0.000000	0.392058
m.20918	315	5	9	3	11	6	5	1.387	2.6607	0.000000	0.000000	0.418099
m.20924	380	9	10	5	13	6	6	1.273	2.8278	0.000000	0.000000	0.408011
m.20930	647	67	102	61	114	104	63	0.760	4.9466	0.000000	0.000000	0.369157
m.20941	628	13	21	12	16	14	10	0.668	1.9108	0.000000	0.000000	0.492406
m.20945	770	10	8	5	8	14	4	0.950	1.9159	0.000000	0.000000	0.491694
m.20950	164	1	0	0	0	2	0	0.123	0.1564	0.927338	0.131489	0.969135
m.20951	166	0	0	0	0	3	0	0.248	0.3605	0.580366	0.049318	0.927190
m.20957	639	33	29	25	27	32	22	0.397	1.4840	0.000002	0.000000	0.561588
m.20959	229	15	25	9	26	18	5	1.287	3.5473	0.000000	0.000000	0.383035
m.20967	304	3	6	2	4	1	0	0.495	0.8135	0.025600	0.001118	0.744782
m.20978	138	13	13	7	15	12	9	1.155	2.7742	0.000000	0.000000	0.411087
m.20979	350	0	3	2	3	3	0	0.505	0.7548	0.045422	0.002079	0.767060
m.20992	502	2	1	2	3	1	0	0.289	0.4274	0.440653	0.032514	0.902864
m.21	461	47	80	58	77	65	63	0.454	2.6090	0.000000	0.000000	0.421521
m.21000	372	10	16	11	13	14	7	0.550	1.4460	0.000003	0.000000	0.568966
m.21001	182	0	0	0	0	1	1	-0.099	-0.1248	0.994351	0.270072	0.952204
m.21002	259	2	2	5	0	5	1	-0.335	-0.5203	0.999960	0.359053	0.708776
m.21013	777	0	0	0	0	1	2	0.109	0.1438	0.939274	0.137789	0.969874
m.21018	369	3	3	5	4	3	2	0.235	0.4285	0.438432	0.032279	0.902435
m.21023	149	3	3	2	1	3	1	-0.014	-0.0198	1.000000	0.222052	0.964654
m.21024	188	4	3	2	6	5	2	1.194	1.9798	0.000000	0.000000	0.482994
m.21046	141	3	3	2	3	4	4	0.747	1.1306	0.000529	0.000020	0.642909
m.21047	294	7	9	6	9	14	6	0.934	1.9185	0.000000	0.000000	0.491332
m.21052	665	1	4	2	1	4	1	0.091	0.1297	0.951133	0.144936	0.970466
m.2107	529	16	15	13	23	18	14	0.911	2.6161	0.000000	0.000000	0.421042
m.21074	449	3	3	2	3	4	0	0.657	1.0148	0.002518	0.000099	0.676644
m.21131	238	0	1	2	0	3	0	-0.057	-0.0817	0.997473	0.251458	0.957953
m.21152	377	8	7	7	4	9	4	0.194	0.3671	0.566381	0.047433	0.924965
m.21153	225	3	6	4	7	7	5	0.914	1.8045	0.000000	0.000000	0.507810
m.21167	266	1	0	0	0	0	0	-0.190	-0.2267	0.993295	0.306801	0.932726
m.21179	265	20	25	13	28	21	18	1.086	3.4195	0.000000	0.000000	0.385719
m.21180	384	2	1	1	4	2	0	0.848	1.3252	0.000027	0.000001	0.594420
m.212	347	4	5	5	4	6	4	0.377	0.6285	0.131464	0.006919	0.818457
m.21217	277	2	1	1	1	2	1	0.016	0.0215	0.997318	0.201138	0.968025
m.21223	127	1	2	3	3	5	3	0.524	0.9027	0.009774	0.000405	0.713038
m.21227	279	3	1	2	1	0	2	-0.144	-0.1969	0.992179	0.297160	0.939666
m.21267	565	1	0	1	3	2	0	0.608	0.9344	0.006768	0.000276	0.702360
m.21268	784	3	10	6	0	8	4	-0.254	-0.4621	0.999982	0.353760	0.787101
m.21281	322	0	2	0	0	3	0	0.114	0.1590	0.924714	0.130201	0.968957
m.21313	552	10	19	12	18	25	14	0.759	2.1366	0.000000	0.000000	0.463510
m.21346	340	11	9	7	8	9	6	0.617	1.3895	0.000009	0.000000	0.580471
m.2136	361	0	4	1	1	0	1	-0.115	-0.1499	0.992943	0.280098	0.948349
m.21375	111	0	2	2	3	3	2	0.513	0.7962	0.030468	0.001348	0.751233
m.21376	204	3	2	2	0	4	0	0.140	0.1989	0.877546	0.111015	0.965086
m.21379	246	18	26	14	25	20	13	0.890	2.8240	0.000000	0.000000	0.408224
m.21388	376	2	0	0	0	3	0	0.165	0.2197	0.847884	0.101524	0.962194
m.21390	125	21	24	15	28	19	17	0.992	3.0818	0.000000	0.000000	0.395837
m.21416	355	2	3	2	2	2	1	0.137	0.1879	0.891844	0.116185	0.966371
m.21438	701	17	21	12	17	23	8	0.785	2.1840	0.000000	0.000000	0.458181
m.21445	216	0	1	0	0	1	0	-0.056	-0.0728	0.998079	0.247409	0.959026
m.21457	115	3	12	7	13	8	9	0.969	2.2249	0.000000	0.000000	0.453799
m.2146	314	0	2	2	3	4	1	0.605	0.9205	0.007964	0.000327	0.707004
m.2147	314	5	8	3	7	6	7	1.119	2.1503	0.000000	0.000000	0.461942
m.21474	364	3	2	2	1	5	0	0.175	0.2436	0.809790	0.091122	0.958117
m.21495	148	0	2	1	2	2	2	0.519	0.7403	0.051935	0.002408	0.772731
m.215	195	21	29	16	23	22	15	0.712	2.0787	0.000000	0.000000	0.470381
m.2150	326	8	7	6	6	7	7	0.602	1.1584	0.000356	0.000013	0.635368
m.21521	685	0	0	1	0	2	0	0.100	0.1310	0.950108	0.144273	0.970421
m.21525	176	3	3	0	0	1	0	-0.074	-0.0894	0.996910	0.254907	0.956995
m.21529	322	0	1	1	1	2	2	0.234	0.3235	0.658000	0.060832	0.938806
m.21538	175	5	9	2	7	4	3	1.234	2.1036	0.000000	0.000000	0.467379
m.21583	404	0	0	0	0	0	1	-0.079	-0.1004	0.996091	0.259743	0.955577
m.21596	525	19	5	11	12	16	10	0.551	1.2951	0.000044	0.000002	0.601285
m.2164	240	3	4	2	3	3	2	0.600	0.9393	0.006387	0.000260	0.700737
m.21665	130	4	1	1	5	5	1	1.182	1.9547	0.000000	0.000000	0.486362
m.21674	280	6	4	2	3	4	2	0.671	0.9782	0.003989	0.000159	0.688111
m.21683	274	0	0	0	1	1	0	-0.152	-0.1959	0.992168	0.296820	0.939876
m.21690	240	3	8	3	7	6	3	1.118	1.9800	0.000000	0.000000	0.482968
m.21691	163	0	0	0	0	0	1	0.012	0.0152	0.998097	0.204376	0.967578
m.217	121	21	19	5	32	18	11	2.040	4.5898	0.000000	0.000000	0.371088
m.21702	178	3	2	2	2	2	2	0.316	0.4953	0.312494	0.020270	0.875244
m.2171	309	5	6	2	3	4	2	0.610	1.0194	0.002374	0.000093	0.675231
m.21710	219	0	0	1	3	4	0	0.772	1.1276	0.000552	0.000021	0.643735
m.21736	444	5	6	1	6	0	6	1.411	2.3555	0.000000	0.000000	0.441146
m.21772	262	6	6	2	0	2	5	0.308	0.4446	0.406397	0.028984	0.896078
m.21798	281	8	7	6	4	8	2	0.235	0.4493	0.397223	0.028072	0.894195
m.218	310	30	33	23	37	35	24	0.740	2.9161	0.000000	0.000000	0.403304
m.21819	1189	0	9	2	3	6	1	0.681	1.1538	0.000380	0.000014	0.636602
m.21828	279	1	0	1	0	1	1	-0.107	-0.1400	0.993444	0.276218	0.949922
m.21832	170	1	0	0	0	0	0	-0.127	-0.1583	0.992615	0.283313	0.946955
m.21842	395	21	28	30	26	28	16	0.109	0.4121	0.471896	0.035917	0.908741
m.2185	737	6	7	3	3	5	0	0.460	0.7543	0.045634	0.002089	0.767254
m.21863	436	1	1	0	0	4	1	0.328	0.4216	0.452419	0.033775	0.905111
m.21864	258	1	3	0	1	2	0	0.130	0.1748	0.907590	0.122465	0.967683
m.21876	142	2	4	3	4	6	3	0.728	1.2084	0.000170	0.000006	0.622334
m.21911	295	0	0	0	4	5	5	1.192	1.9665	0.000000	0.000000	0.484771
m.21939	120	0	3	2	2	3	2	0.341	0.5119	0.284479	0.017920	0.868235
m.21993	204	0	1	1	0	0	0	-0.032	-0.0431	0.999703	0.233443	0.962344
m.22064	312	2	0	1	0	0	2	-0.014	-0.0192	1.000000	0.221754	0.964710
m.22085	331	4	10	6	6	9	5	0.527	1.0161	0.002477	0.000097	0.676244
m.2212	675	3	3	6	7	6	1	0.533	1.1841	0.000244	0.000009	0.628585
m.22122	295	0	0	0	1	1	0	-0.028	-0.0362	0.999918	0.230106	0.963057
m.22127	173	1	0	0	3	3	2	0.835	1.2262	0.000130	0.000005	0.617854
m.22180	238	0	0	0	3	5	0	0.904	1.3506	0.000018	0.000001	0.588796
m.22205	653	7	5	2	11	21	3	1.917	3.7913	0.000000	0.000000	0.378912
m.22210	207	2	12	0	4	0	6	1.192	1.9173	0.000000	0.000000	0.491499
m.2223	305	1	0	0	0	0	0	-0.121	-0.1529	0.992824	0.281255	0.947858
m.22271	234	1	3	1	3	3	3	0.901	1.3628	0.000015	0.000001	0.586148
m.22274	438	10	9	7	11	13	6	0.885	1.9125	0.000000	0.000000	0.492168
m.22282	310	12	20	12	16	7	12	0.635	1.7860	0.000000	0.000000	0.510599
m.2229	343	7	1	2	1	4	3	0.276	0.4141	0.467776	0.035458	0.907982
m.22295	361	0	0	2	2	0	0	0.051	0.0725	0.984307	0.174593	0.970546
m.223	287	0	1	3	0	5	1	0.010	0.0148	0.998146	0.204581	0.967549
m.22300	797	0	3	2	1	2	0	-0.160	-0.2166	0.992760	0.303635	0.935234
m.22305	311	1	2	1	1	1	1	-0.142	-0.1783	0.992145	0.290679	0.943377
m.22307	275	3	3	3	3	8	6	0.666	1.1025	0.000784	0.000030	0.650747
m.22336	329	0	2	0	0	0	2	0.072	0.0990	0.971753	0.160764	0.970943
m.22339	1615	2	1	0	3	4	0	0.812	1.2762	0.000060	0.000002	0.605710
m.22354	142	0	0	1	2	2	1	0.320	0.4425	0.410525	0.029399	0.896916
m.22358	156	4	0	4	2	2	2	-0.072	-0.1229	0.994485	0.269288	0.952479
m.22365	587	6	11	6	4	15	4	0.436	0.8345	0.020607	0.000887	0.737080
m.22377	200	3	3	2	3	4	1	0.574	0.9132	0.008666	0.000357	0.709467
m.22382	236	1	1	1	0	1	0	-0.113	-0.1447	0.993204	0.278073	0.949185
m.22392	222	12	12	8	18	14	10	1.156	3.0235	0.000000	0.000000	0.398252
m.22394	559	17	21	8	13	14	9	0.892	2.1621	0.000000	0.000000	0.460610
m.22405	246	7	5	4	10	5	6	1.152	2.3351	0.000000	0.000000	0.442992
m.2241	107	3	4	2	4	4	3	0.878	1.3120	0.000034	0.000001	0.597404
m.22412	708	9	2	1	10	7	3	1.790	3.2538	0.000000	0.000000	0.389976
m.22424	314	4	4	3	7	5	7	1.201	2.1665	0.000000	0.000000	0.460117
m.22426	144	3	4	1	3	3	0	0.812	1.3587	0.000016	0.000001	0.587034
m.22427	401	3	6	3	5	5	4	0.870	1.5923	0.000000	0.000000	0.541930
m.22434	265	4	3	2	3	2	1	0.443	0.7241	0.060102	0.002831	0.779143
m.2244	1940	2	4	3	9	5	2	1.269	2.4264	0.000000	0.000000	0.435078
m.22444	205	0	0	0	2	0	1	0.250	0.3497	0.603211	0.052512	0.930735
m.22447	261	0	11	2	5	6	1	1.001	1.7153	0.000000	0.000000	0.521564
m.22448	329	3	3	2	3	3	2	0.585	0.9092	0.009074	0.000374	0.710823
m.22449	384	5	4	4	4	6	4	0.617	1.0754	0.001135	0.000044	0.658515
m.22509	381	0	0	1	0	0	0	-0.125	-0.1641	0.992426	0.285491	0.945956
m.22510	131	0	1	0	0	4	0	0.297	0.4084	0.479542	0.036778	0.910138
m.22518	514	18	17	13	20	14	12	0.771	2.2675	0.000000	0.000000	0.449451
m.22535	540	0	0	0	0	1	0	-0.102	-0.1285	0.994113	0.271589	0.951662
m.22539	256	8	8	3	4	7	5	0.805	1.3600	0.000015	0.000001	0.586753
m.22541	115	0	0	0	1	1	2	0.088	0.1211	0.957614	0.149338	0.970708
m.22542	615	99	144	81	199	121	128	1.034	7.6792	0.000000	0.000000	0.366944
m.22547	139	0	0	0	3	0	3	0.705	0.9950	0.003236	0.000128	0.682798
m.22551	320	4	1	1	1	2	0	0.097	0.1251	0.954671	0.147287	0.970606
m.22556	121	0	0	1	2	3	0	0.481	0.7170	0.063997	0.003036	0.781978
m.22580	202	3	2	3	7	6	3	1.044	1.8335	0.000000	0.000000	0.503501
m.22589	501	0	1	1	1	0	0	-0.101	-0.1229	0.994485	0.269288	0.952479
m.22619	255	3	0	0	2	1	0	0.226	0.2964	0.712798	0.070290	0.946295
m.22671	529	1	2	2	1	3	2	0.046	0.0619	0.988118	0.180137	0.970198
m.22676	166	2	3	0	3	1	4	0.835	1.2621	0.000075	0.000003	0.609070
m.22685	890	0	2	0	0	0	0	-0.069	-0.0901	0.996854	0.255218	0.956906
m.2269	469	0	2	0	2	3	0	0.544	0.7388	0.052650	0.002445	0.773321
m.22691	209	1	0	2	1	2	0	-0.167	-0.2238	0.993121	0.305903	0.933464
m.227	359	3	6	5	6	5	6	0.701	1.3322	0.000024	0.000001	0.592855
m.22707	617	0	3	0	0	0	0	-0.063	-0.0829	0.997382	0.251999	0.957805
m.22737	450	2	1	1	1	3	1	0.179	0.2398	0.816119	0.092738	0.958819
m.22746	109	1	1	0	3	3	0	0.708	1.0269	0.002156	0.000084	0.672940
m.22755	303	0	0	0	0	1	0	-0.136	-0.1739	0.992208	0.289093	0.944198
m.2278	237	0	0	0	2	2	0	0.381	0.5250	0.263422	0.016225	0.862664
m.22782	553	7	14	7	13	11	5	0.992	2.2583	0.000000	0.000000	0.450371
m.22784	250	0	2	0	1	3	1	0.184	0.2497	0.799425	0.088560	0.956947
m.22792	194	0	0	1	0	0	1	-0.099	-0.1319	0.993899	0.272971	0.951157
m.22799	396	0	0	0	0	1	0	-0.028	-0.0386	0.999863	0.231271	0.962811
m.22806	335	0	0	0	3	0	0	0.514	0.7648	0.041339	0.001876	0.763187
m.22810	245	6	13	5	9	8	8	1.017	1.9893	0.000000	0.000000	0.481737
m.22850	470	2	4	3	8	7	4	1.312	2.5210	0.000000	0.000000	0.427731
m.22904	580	11	19	12	18	18	13	0.781	2.0876	0.000000	0.000000	0.469300
m.22921	1220	6	6	2	5	10	3	1.129	1.8390	0.000000	0.000000	0.502693
m.22925	162	0	1	0	2	1	2	0.408	0.5732	0.194328	0.011073	0.842024
m.22934	136	3	1	1	3	6	1	0.908	1.4136	0.000006	0.000000	0.575482
m.22940	466	22	22	20	21	28	13	0.429	1.3932	0.000009	0.000000	0.579697
m.22944	994	57	81	46	87	85	43	0.802	4.2663	0.000000	0.000000	0.373636
m.22952	530	9	6	6	17	7	10	1.349	3.2003	0.000000	0.000000	0.391613
m.22956	201	1	1	1	2	0	0	0.237	0.3242	0.656555	0.060599	0.938600
m.22958	120	0	0	1	0	0	1	-0.115	-0.1592	0.992589	0.283653	0.946802
m.22977	195	0	0	0	0	1	0	-0.152	-0.1954	0.992159	0.296650	0.939981
m.230	211	24	21	16	30	23	17	0.928	3.0118	0.000000	0.000000	0.398764
m.23013	106	2	0	0	3	1	1	0.531	0.8049	0.027929	0.001228	0.747976
m.23037	263	11	13	5	11	6	10	1.133	2.4042	0.000000	0.000000	0.436922
m.23042	858	9	7	7	11	12	3	0.857	2.0469	0.000000	0.000000	0.474319
m.23072	302	6	7	5	4	6	4	0.385	0.7547	0.045464	0.002081	0.767099
m.23079	454	1	3	2	0	4	0	0.027	0.0385	0.994381	0.192341	0.969092
m.2309	217	3	2	1	2	5	0	0.668	0.9959	0.003200	0.000127	0.682516
m.23103	397	5	6	2	3	3	2	0.558	0.9291	0.007203	0.000294	0.704124
m.23110	258	5	9	5	9	7	3	0.921	1.9875	0.000000	0.000000	0.481974
m.23144	148	0	1	0	0	0	0	-0.201	-0.2352	0.993861	0.309384	0.930474
m.23145	569	0	0	1	3	2	0	0.645	0.9486	0.005717	0.000231	0.697677
m.23157	316	3	3	2	5	3	2	0.891	1.4527	0.000003	0.000000	0.567645
m.2316	597	0	2	0	1	2	0	0.084	0.1090	0.965792	0.155576	0.970904
m.2317	307	2	3	4	4	6	2	0.481	0.8983	0.010275	0.000426	0.714545
m.23172	335	2	3	2	0	1	1	-0.292	-0.3731	0.999991	0.341512	0.867414
m.232	1282	10	9	6	11	12	10	1.096	2.4227	0.000000	0.000000	0.435382
m.23218	266	0	0	0	1	1	0	-0.195	-0.2269	0.993305	0.306862	0.932675
m.23233	725	8	15	7	15	16	7	1.153	2.7890	0.000000	0.000000	0.410222
m.23247	172	12	11	6	10	15	5	1.032	2.2310	0.000000	0.000000	0.453163
m.2327	164	2	3	1	4	2	0	0.857	1.3255	0.000027	0.000001	0.594353
m.23275	219	7	9	5	5	8	4	0.605	1.0993	0.000819	0.000031	0.651654
m.23328	172	2	3	1	2	3	1	0.575	0.8008	0.029102	0.001283	0.749508
m.23347	148	0	3	0	0	2	0	0.023	0.0312	0.995794	0.196128	0.968659
m.23354	104	0	0	0	0	0	1	-0.159	-0.1998	0.992233	0.298138	0.939048
m.23358	103	6	0	2	0	1	0	-0.295	-0.3882	0.999990	0.344001	0.856584
m.23371	196	16	13	11	12	16	7	0.552	1.4451	0.000003	0.000000	0.569144
m.23377	644	0	0	2	1	3	2	0.170	0.2557	0.788995	0.086079	0.955745
m.23397	127	8	7	2	13	11	9	2.007	3.7589	0.000000	0.000000	0.379391
m.23436	547	0	0	0	0	0	2	0.053	0.0774	0.982319	0.172031	0.970671
m.23454	187	30	27	16	47	38	22	1.330	4.4227	0.000000	0.000000	0.372318
m.23459	176	1	0	0	1	2	0	0.007	0.0082	0.998795	0.207956	0.967051
m.2353	1773	4	12	9	4	12	5	0.024	0.0473	0.992352	0.187761	0.969560
m.23575	291	14	18	10	13	17	12	0.747	1.7830	0.000000	0.000000	0.511055
m.23588	389	0	1	0	2	2	0	0.476	0.6677	0.096955	0.004856	0.802060
m.23594	226	0	1	0	0	1	0	-0.033	-0.0422	0.999746	0.233010	0.962438
m.23599	895	112	189	102	157	147	79	0.522	3.7745	0.000000	0.000000	0.379158
m.2360	1533	14	9	9	6	8	4	0.102	0.2198	0.847734	0.101479	0.962179
m.23602	166	10	11	10	10	9	8	0.446	1.0425	0.001759	0.000069	0.668226
m.23607	647	10	27	18	22	26	18	0.558	1.8025	0.000000	0.000000	0.508110
m.23611	241	13	29	18	23	22	13	0.584	1.9924	0.000000	0.000000	0.481329
m.23613	106	5	5	3	8	5	2	1.094	2.0756	0.000000	0.000000	0.470760
m.23617	128	2	1	1	2	3	1	0.530	0.7346	0.054697	0.002550	0.774978
m.23626	176	0	5	0	1	3	0	0.239	0.3145	0.676468	0.063877	0.941394
m.23629	351	9	9	6	8	13	5	0.864	1.7224	0.000000	0.000000	0.520441
m.23632	169	3	3	2	5	4	7	1.113	1.9984	0.000000	0.000000	0.480541
m.23641	168	0	2	2	3	2	2	0.548	0.8636	0.015104	0.000639	0.726641
m.23661	550	5	5	4	7	3	2	0.751	1.4423	0.000004	0.000000	0.569699
m.23671	219	4	5	3	9	7	1	1.201	2.3223	0.000000	0.000000	0.444174
m.23676	166	2	0	1	0	0	1	-0.036	-0.0452	0.999636	0.234452	0.962123
m.23685	446	46	89	34	69	52	30	0.897	4.4330	0.000000	0.000000	0.372236
m.23696	547	3	0	0	0	2	0	0.142	0.1902	0.888935	0.115095	0.966116
m.23699	552	8	29	20	43	22	36	1.045	3.7963	0.000000	0.000000	0.378839
m.23716	147	4	10	7	10	9	7	0.838	1.8933	0.000000	0.000000	0.494868
m.23728	760	0	1	2	0	2	0	-0.205	-0.2804	0.998674	0.321901	0.915827
m.23737	412	18	27	12	20	18	12	0.881	2.5232	0.000000	0.000000	0.427569
m.23776	270	0	6	2	3	7	2	0.796	1.2804	0.000056	0.000002	0.604719
m.23795	157	0	0	0	2	0	1	0.284	0.3829	0.532940	0.043127	0.919469
m.23801	309	0	0	0	0	0	3	0.241	0.3299	0.644737	0.058725	0.936907
m.23814	289	5	5	5	4	6	5	0.365	0.7080	0.069226	0.003314	0.785594
m.23817	738	0	2	3	3	9	5	0.672	1.1332	0.000510	0.000019	0.642195
m.23821	306	54	52	31	51	51	32	0.744	3.4207	0.000000	0.000000	0.385692
m.23824	188	9	18	8	15	10	8	0.981	2.4036	0.000000	0.000000	0.436972
m.23859	213	0	1	1	5	5	5	1.377	2.2270	0.000000	0.000000	0.453580
m.23867	427	4	3	2	5	8	2	1.144	1.9156	0.000000	0.000000	0.491735
m.23871	448	0	1	1	0	3	0	0.203	0.2594	0.782449	0.084567	0.954980
m.23900	193	3	0	0	1	0	1	-0.081	-0.1016	0.995993	0.260264	0.955418
m.23918	356	2	3	1	1	3	1	0.164	0.2230	0.842872	0.100054	0.961679
m.23926	521	2	4	4	4	4	2	0.467	0.8183	0.024374	0.001061	0.743009
m.23962	496	0	2	2	6	1	4	1.109	1.8834	0.000000	0.000000	0.496273
m.23963	466	0	1	0	0	2	0	0.105	0.1400	0.942625	0.139706	0.970058
