PROTID	PROTLEN	0	0	0	1	1	1
m.10111	222	2	0	3	1	2	3
m.11819	281	2	2	2	1	1	2
m.31443	176	0	1	0	1	1	1
m.3153	509	7	9	8	4	4	4
m.31542	149	1	1	1	1	0	1
m.316	240	2	1	0	1	3	2
m.31603	496	1	2	1	2	3	3
m.31623	358	2	1	2	3	2	3
m.31625	195	0	1	0	0	0	0
m.3167	409	0	0	1	0	0	0
m.31712	115	2	4	3	3	3	4
m.3172	280	1	0	2	1	2	3
m.31748	138	2	2	2	3	3	3
m.3177	109	0	1	0	0	1	0
m.31958	263	2	2	2	2	2	2
m.31989	241	8	8	10	5	5	8
m.32004	521	6	6	6	5	7	5
m.32071	562	0	3	1	2	2	1
m.32074	263	0	0	0	1	0	1
m.32107	309	2	2	2	4	4	3
m.32114	195	0	0	0	1	0	2
m.11826	566	1	0	1	0	0	1
m.32194	430	0	1	1	0	0	0
m.3220	414	5	4	3	4	5	4
m.3221	325	5	5	6	4	5	6
m.32275	204	1	1	1	0	1	1
m.323	492	3	4	3	4	3	4
m.32319	119	1	1	0	0	0	0
m.32350	106	2	2	2	1	1	1
m.32357	153	3	4	5	3	3	3
m.32372	367	3	2	2	0	0	2
m.11831	212	6	7	7	2	5	4
m.32400	152	11	10	11	11	13	12
m.32437	322	5	5	6	4	4	6
m.32472	518	1	1	1	0	1	0
m.3251	282	0	0	1	1	1	0
m.3255	868	2	1	0	0	0	0
m.32635	153	0	0	0	0	0	1
m.3273	568	1	0	1	0	2	0
m.3276	306	2	5	6	1	0	0
m.11832	897	2	6	8	8	7	9
m.32828	176	4	2	3	0	0	0
m.32831	225	6	6	7	4	3	5
m.32846	176	1	1	2	2	3	1
m.33004	467	1	0	0	2	1	1
m.33026	112	6	6	7	5	7	6
m.33051	377	0	0	1	0	1	1
m.33135	103	12	13	11	13	17	13
m.33136	368	1	1	1	0	1	1
m.332	282	19	15	23	9	9	5
m.33261	166	1	1	0	2	1	1
m.33265	255	3	2	3	0	0	0
m.3341	135	1	0	0	1	0	0
m.33410	147	2	2	1	1	2	2
m.33455	109	2	1	1	1	1	1
m.33472	425	1	1	1	1	1	1
m.33503	162	1	2	1	2	2	3
m.33514	310	5	6	6	7	7	5
m.11876	224	0	0	1	0	0	0
m.33585	222	1	1	1	3	1	1
m.33614	250	4	5	4	0	0	1
m.33851	449	1	1	1	0	1	0
m.33899	140	1	2	2	1	1	0
m.33912	110	0	0	0	2	2	1
m.1188	293	3	5	4	5	4	5
m.34056	168	1	2	4	1	1	1
m.3406	975	2	0	0	0	0	0
