PROTID	PROTLEN	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1
m.1	362	0	1	2	1	1	2	1	1	2	2	2	0	1	1	1	2
m.1000	214	12	16	14	13	18	9	13	9	5	13	14	7	2	15	7	11
m.10007	400	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
m.10009	206	2	2	3	2	2	1	0	2	3	1	1	1	3	0	1	0
m.10012	278	0	1	1	1	1	1	0	1	0	2	0	0	0	2	0	0
m.10015	205	5	3	4	4	4	6	3	4	2	4	3	5	1	2	1	5
m.1002	498	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
m.10038	212	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.1005	498	7	4	4	3	8	5	5	2	0	2	4	4	0	6	5	6
m.1007	159	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	1
m.10080	526	8	14	3	11	13	4	10	8	2	8	17	5	0	8	6	10
m.10093	673	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1
m.10096	224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.10101	187	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0
m.10111	222	2	2	2	1	1	1	1	0	3	4	2	2	1	3	2	1
m.1013	969	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
m.10132	182	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
m.10135	467	0	1	2	2	3	0	4	1	0	1	3	3	0	5	2	3
m.10138	474	1	2	1	2	2	1	1	0	0	1	2	0	0	1	1	1
m.10139	271	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	1
m.10145	179	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
m.10146	361	1	1	1	0	2	0	1	1	0	0	0	1	0	1	0	1
m.10168	220	1	1	0	1	1	0	0	1	0	0	0	0	0	0	1	0
m.10182	249	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2
m.10183	616	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0
m.10194	572	13	12	15	13	11	14	11	13	3	10	9	4	0	8	5	8
m.10196	145	1	0	0	1	0	0	1	1	0	0	1	0	0	0	1	0
m.10199	219	5	8	3	8	9	4	2	5	4	7	4	8	1	5	4	7
m.1020	1917	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0
m.1024	399	2	2	3	2	1	1	1	2	2	1	1	1	1	1	2	1
m.10254	141	1	2	2	0	1	2	1	4	2	2	2	2	0	3	4	4
m.1026	324	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
m.10265	194	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
m.1027	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
m.10289	705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.10304	278	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2
m.10324	680	1	2	1	0	1	0	2	0	0	1	1	0	0	1	0	1
m.10327	1122	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0
m.10342	512	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
m.10346	250	0	0	1	0	1	0	0	0	0	0	1	1	0	1	0	1
m.10353	112	1	0	0	1	1	1	0	0	0	0	0	0	0	1	0	0
m.10358	855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.1036	1192	2	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0
m.10365	413	1	2	3	2	1	0	0	1	1	1	5	2	0	2	0	0
m.10374	1005	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
m.10378	725	1	0	0	1	3	0	0	0	0	2	4	4	0	0	0	3
m.1038	113	4	6	6	5	6	3	3	3	0	6	1	2	0	4	3	4
m.10387	484	1	1	1	1	4	1	1	1	1	2	4	1	0	1	1	2
m.10393	233	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
m.104	1674	40	41	27	32	27	31	37	31	7	21	20	19	3	28	18	24
m.1041	396	5	2	0	1	5	2	3	3	0	3	2	1	0	3	1	2
m.10419	452	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m.1042	331	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
m.10457	752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.10463	220	1	3	2	0	2	0	2	2	1	2	2	1	0	1	2	2
m.10468	320	7	4	5	3	6	3	5	3	7	8	3	1	1	5	3	6
m.10469	238	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	0
m.10472	547	4	7	2	2	3	2	3	1	0	1	3	1	1	0	0	0
m.10484	222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
m.10496	298	8	10	13	9	10	10	9	8	3	8	9	9	5	9	6	13
m.10499	214	2	1	1	3	2	1	2	0	0	1	2	2	0	5	1	3
m.1054	285	12	9	11	12	7	8	6	7	4	11	8	9	5	11	9	8
m.10557	131	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	1
m.10558	176	2	1	1	3	2	1	1	1	0	2	1	2	0	4	1	2
m.10560	427	0	2	3	5	3	3	3	3	2	3	2	0	3	4	1	2
m.10567	295	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
m.10575	652	1	1	1	0	1	0	1	0	0	2	1	0	1	1	0	1
m.10580	205	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0
m.10586	414	2	1	1	1	1	0	1	1	0	1	0	0	0	1	0	1
m.1060	147	1	0	0	5	3	1	0	1	0	3	2	0	0	0	0	2
m.10601	162	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
m.10603	487	3	0	3	0	0	0	0	0	2	0	0	2	2	0	0	0
m.10605	698	0	1	1	1	2	1	1	1	0	1	2	0	0	1	1	2
m.10621	420	2	8	6	0	3	2	5	0	0	7	5	3	0	5	2	5
m.10645	257	0	0	0	0	0	0	0	0	1	0	3	1	1	0	0	1
m.1069	424	4	1	3	2	3	1	1	1	0	1	1	0	0	2	0	1
m.10693	451	1	1	0	0	1	0	0	0	0	1	1	0	0	0	0	2
m.107	99	7	8	7	6	7	8	6	6	9	7	4	4	8	7	3	7
m.10713	218	9	8	5	6	6	7	1	5	1	7	2	3	1	8	3	8
m.10714	429	4	4	3	3	4	2	3	0	0	1	4	3	0	3	1	4
m.10723	443	3	2	4	3	2	3	1	3	2	2	1	2	1	1	2	4
m.10726	1630	2	1	2	1	1	0	1	1	0	2	0	3	0	2	0	0
m.1073	371	1	3	4	0	5	1	4	1	0	1	6	0	0	4	2	0
m.1074	292	3	2	1	5	4	2	2	2	1	3	0	3	1	2	2	6
