PROTID	PROTLEN	0	0	0	1	1	1
m.1	362	6	6	2	6	6	2
m.1000	214	62	60	34	47	57	33
m.10009	206	8	11	4	20	12	10
m.10012	278	0	0	0	0	1	0
m.10015	205	20	21	12	22	17	11
m.10041	171	0	0	0	0	1	0
m.1005	498	14	17	11	11	18	16
m.10054	107	0	0	0	3	0	0
m.1007	159	0	0	0	0	0	1
m.10080	526	29	31	14	23	36	21
m.10101	187	0	0	2	0	2	1
m.10111	222	6	9	2	9	9	1
m.10119	416	0	1	1	0	0	0
m.1013	969	0	1	1	0	1	0
m.10132	182	0	0	2	0	2	2
m.10135	467	25	25	4	19	28	12
m.10138	474	3	8	3	6	7	1
m.10139	271	3	1	0	0	0	0
m.10164	157	3	3	0	3	0	0
m.10182	249	2	3	0	0	3	0
m.10194	572	56	47	30	30	51	29
m.10196	145	1	1	0	2	0	2
m.10199	219	14	15	14	17	16	11
m.10205	893	0	2	0	0	0	0
m.10239	279	1	3	0	0	2	1
m.10260	232	4	4	2	2	5	4
m.10264	203	1	0	0	0	0	0
m.10289	705	0	4	1	3	1	2
m.10304	278	0	0	1	0	0	0
m.10324	680	5	5	1	0	1	4
m.10327	1122	15	11	7	14	13	9
m.10342	512	0	0	1	0	0	0
m.10346	250	1	2	4	2	0	0
m.10353	112	0	0	0	0	1	1
m.1036	1192	1	3	1	0	0	0
m.10378	725	7	5	5	11	9	4
m.1038	113	17	18	10	18	20	11
m.10387	484	10	12	11	9	6	8
m.104	1674	96	94	64	47	104	44
m.1041	396	3	3	4	3	3	1
m.1042	331	7	6	4	2	5	2
m.1044	836	1	0	0	0	0	0
m.10463	220	9	4	2	3	4	2
m.10468	320	21	15	14	14	18	11
m.10472	547	14	10	7	6	9	6
m.10496	298	32	14	21	23	18	14
m.10498	209	0	0	0	0	1	0
m.10499	214	4	7	0	1	1	3
m.1054	285	20	18	9	18	21	14
m.10547	1648	0	1	0	0	1	1
m.10557	131	0	2	2	0	1	0
m.10558	176	8	12	4	6	11	7
m.10560	427	24	28	13	16	10	9
m.10575	652	1	3	0	7	0	3
m.10580	205	1	0	1	0	0	0
m.10586	414	2	0	1	0	1	0
m.1060	147	0	3	2	3	6	3
m.10603	487	4	4	0	5	5	2
m.10605	698	4	7	2	5	3	2
m.10621	420	4	5	9	3	8	2
m.10638	702	0	3	2	1	1	0
m.10645	257	0	3	0	1	2	1
m.1069	424	12	15	9	14	15	10
m.10693	451	1	0	0	5	0	0
m.107	99	24	22	16	14	24	14
m.10713	218	35	30	23	30	26	19
m.10714	429	10	15	11	14	14	15
m.10723	443	1	2	2	0	1	3
m.10726	1630	11	20	5	10	10	7
m.1073	371	4	5	2	5	7	4
m.1074	292	9	8	4	4	6	3
m.10744	282	18	10	11	12	10	8
m.10807	572	51	55	32	44	51	40
m.10812	189	5	1	2	4	3	0
m.10816	192	8	10	4	7	6	3
m.10818	372	2	5	1	6	1	3
m.10831	206	3	3	6	1	0	1
m.10852	208	2	5	1	1	3	1
m.10862	241	0	0	0	0	2	0
m.10878	258	0	1	0	1	0	1
m.10883	471	44	41	21	33	31	18
m.1089	117	23	23	15	26	28	16
m.10893	298	53	37	13	32	56	28
m.10901	228	2	2	1	0	2	0
m.10905	398	8	12	5	3	7	6
m.10909	251	0	1	0	3	0	4
m.10914	217	11	9	8	13	10	5
m.10928	723	5	5	3	8	5	4
m.10938	346	16	10	5	3	7	7
m.10939	1302	6	6	4	4	7	2
m.10942	329	1	1	0	0	0	0
m.10944	532	1	2	0	0	2	2
m.10974	566	9	11	4	9	10	3
m.110	1165	112	129	73	81	147	86
m.1100	513	10	6	7	7	6	6
m.11021	150	0	3	0	1	1	0
m.1103	1107	2	0	0	0	4	0
m.11035	299	4	4	0	6	8	4
m.11041	876	0	1	0	0	0	0
m.11045	121	7	2	1	3	6	2
m.11092	1439	1	0	0	0	0	0
m.11100	1144	22	31	13	21	26	16
m.11107	150	24	23	14	21	25	15
m.11115	300	0	1	5	3	0	2
m.11137	540	1	1	2	1	3	2
m.11149	227	22	17	11	17	19	8
m.11152	593	1	3	1	3	0	2
m.1116	106	0	0	0	0	0	1
m.11167	387	1	0	0	0	0	0
m.1126	148	11	7	5	5	7	4
m.11265	213	4	3	3	4	3	2
m.11298	283	0	2	2	2	3	1
m.113	378	114	72	57	47	111	56
m.11313	319	0	0	1	1	0	0
m.1133	280	4	5	3	3	4	5
m.11340	155	4	4	4	7	3	5
m.11346	282	2	3	3	0	3	1
m.1135	538	14	14	16	10	9	12
m.11354	351	29	30	16	24	26	18
m.11405	546	2	1	0	0	1	0
m.1141	910	1	2	0	0	0	2
m.11430	456	0	0	1	0	0	0
m.11436	297	0	1	0	1	1	2
m.11443	1087	5	6	0	5	5	0
m.1145	390	3	0	1	0	3	2
m.11458	213	7	8	6	5	9	9
m.11472	334	9	14	5	6	11	7
m.11482	410	2	2	0	1	1	1
m.1149	736	7	6	0	2	3	3
m.115	216	18	15	13	11	15	9
m.1152	2284	0	0	4	9	2	2
m.11523	224	1	1	0	0	0	1
m.11536	523	2	2	2	0	0	0
m.11543	385	14	16	12	16	9	8
m.11553	214	40	28	12	23	22	15
m.11561	392	0	1	0	0	0	0
m.1157	147	8	8	4	6	5	3
m.11575	150	4	3	2	3	7	4
m.11603	537	4	2	4	0	6	3
m.1163	121	8	12	4	6	7	7
m.1164	164	3	2	0	3	3	1
m.11654	271	0	3	0	3	2	2
m.1168	430	2	1	1	1	0	2
m.11683	186	0	0	0	3	0	0
m.11687	197	1	3	0	3	3	1
m.11700	147	0	0	0	0	0	1
m.11724	829	5	10	2	9	8	5
m.11725	118	1	1	2	0	1	1
m.1173	565	0	0	1	0	0	1
m.11744	384	6	5	0	4	7	3
m.11754	237	10	7	5	10	7	7
m.11767	390	1	1	1	2	2	3
m.1177	593	0	2	0	0	0	0
m.11786	188	1	3	3	0	0	2
m.11819	281	12	10	6	9	18	8
m.11820	1432	1	3	0	0	2	3
m.11826	566	1	3	2	0	4	2
m.11828	346	1	3	0	1	0	1
m.11831	212	7	13	5	20	8	8
m.11832	897	23	26	11	20	26	14
m.11842	252	1	0	1	2	0	3
